consumer_id,name,date_of_complaint,region,complaint
7901,Olivia Young,2024-08-15,New Amandaberg,I was not informed about exclusions in my policy.
8084,Robert Smith,2024-06-17,Kirktown,"The insurance policy was not clear about coverage, and I want to review it."
4842,Sara Escobar,2024-09-06,Matthewview,"My claim was denied without proper explanation, and I need further clarification."
3429,Shelby Williams,2024-03-05,Davidton,"My claim was denied without proper explanation, and I need further clarification."
6397,Felicia Woodard,2024-06-15,South Isaacside,"The insurance policy was not clear about coverage, and I want to review it."
7466,John Warren,2023-12-14,Port Markfort,"The claim process was delayed, and I had to wait longer than promised."
2308,Mrs. Jessica Moore,2024-02-17,Jordanbury,"I was asked for unnecessary documents, causing delays in my claim."
1387,John Williams,2024-07-09,Lake Mariachester,"The insurance policy was not clear about coverage, and I want to review it."
8962,Jennifer Hull,2024-11-22,Goodmanshire,"The claim process was delayed, and I had to wait longer than promised."
8210,Nathaniel Evans,2024-10-18,North Ricardoshire,"I was asked for unnecessary documents, causing delays in my claim."
6077,Clarence Lynn,2024-10-10,New Kim,"I was asked for unnecessary documents, causing delays in my claim."
3894,Corey Thomas,2023-12-26,Amandamouth,I was not informed about exclusions in my policy.
3441,Kimberly Lee,2024-09-21,New Austin,"I was asked for unnecessary documents, causing delays in my claim."
3435,Mark Fields,2024-04-05,Wyattland,I was not informed about exclusions in my policy.
7457,Samuel Wade MD,2023-12-16,Lisaport,I was not informed about exclusions in my policy.
3038,Christopher Aguilar,2024-01-21,Nicholasshire,"My claim was denied without proper explanation, and I need further clarification."
9428,John Reeves PhD,2024-09-23,East John,"The payout was less than expected, and I want to dispute it."
1004,Steven Conway,2024-08-12,Annaville,I was not informed about exclusions in my policy.
6271,Amanda Andrade,2024-08-29,Kristenfort,"My claim was denied without proper explanation, and I need further clarification."
6636,Joshua Kelley,2024-10-18,East Paulchester,"I was asked for unnecessary documents, causing delays in my claim."
8546,Megan Williams,2024-04-29,Jorgetown,"The claim process was delayed, and I had to wait longer than promised."
3182,Jennifer Lam,2024-10-25,Greenehaven,"The insurance policy was not clear about coverage, and I want to review it."
2956,Dominic Torres,2024-08-18,Joshuaberg,I was not informed about exclusions in my policy.
5614,Alexa Powell,2024-03-25,Lake Jeremyberg,"The payout was less than expected, and I want to dispute it."
2673,Amanda Boyd,2024-04-13,Lake Peter,"The insurance policy was not clear about coverage, and I want to review it."
3453,Michael Harris,2024-09-07,Tiffanytown,"The insurance policy was not clear about coverage, and I want to review it."
9516,Daniel Coleman,2024-01-15,Jenniferfort,"The payout was less than expected, and I want to dispute it."
7130,Jonathan West,2024-03-13,Simmonsland,"My claim was denied without proper explanation, and I need further clarification."
2356,Wendy Rivera,2024-04-05,Lake Patricia,"My claim was denied without proper explanation, and I need further clarification."
5297,Kelly Carroll,2024-09-01,Tiffanymouth,I was not informed about exclusions in my policy.
1843,John Jackson,2024-07-10,East Jacquelineview,I was not informed about exclusions in my policy.
1722,Jeffrey Henderson,2024-03-25,Jeffersonborough,"The claim process was delayed, and I had to wait longer than promised."
3457,Deborah Johnson,2024-04-13,Port Douglasburgh,"My claim was denied without proper explanation, and I need further clarification."
1039,Tyler Parrish,2024-09-17,Jordanfurt,"My claim was denied without proper explanation, and I need further clarification."
6129,Omar Williams,2024-01-09,New Tracihaven,I was not informed about exclusions in my policy.
1879,Tracy Jackson,2024-03-29,Katherinemouth,"I was asked for unnecessary documents, causing delays in my claim."
9114,Sara Lewis,2024-10-10,Medinaborough,"The claim process was delayed, and I had to wait longer than promised."
6538,Amanda Holland,2024-10-12,South Jason,"The claim process was delayed, and I had to wait longer than promised."
5644,Thomas Yoder,2023-12-30,Conradtown,"The payout was less than expected, and I want to dispute it."
9312,Jamie Stanley,2024-07-15,Mooreland,I was not informed about exclusions in my policy.
4564,Anthony Ibarra,2024-08-18,South John,"The payout was less than expected, and I want to dispute it."
2806,Jeremiah Stewart,2024-05-07,Kennedyshire,"My claim was denied without proper explanation, and I need further clarification."
6398,Kathy Carter,2024-09-14,East Claudia,I was not informed about exclusions in my policy.
6795,Fred Smith,2024-01-30,East Duaneborough,"The payout was less than expected, and I want to dispute it."
5247,Christopher Hodge,2024-01-09,Laurafort,"My claim was denied without proper explanation, and I need further clarification."
3752,Michael Joyce,2024-06-13,West Zacharymouth,"I was asked for unnecessary documents, causing delays in my claim."
7484,Joseph Schmidt,2024-07-14,Lake Michael,"I was asked for unnecessary documents, causing delays in my claim."
8702,Joseph Baker,2024-02-02,Dixonbury,"The claim process was delayed, and I had to wait longer than promised."
