consumer_id,name,date_of_complaint,region,complaint,intent
9755,Roy Obrien,2024-10-13,Port Erica,I received the wrong item and would like a full refund or exchange.,Finance Department
6931,Jose Johnson DVM,2023-12-02,North Kristina,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7014,Sandra Jenkins,2024-07-30,South Katherine,I received the wrong item and would like a full refund or exchange.,Finance Department
1873,Anthony Stewart,2024-04-19,East Faith,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5508,Erik Young,2024-09-01,New Mark,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8196,Luis Moreno MD,2024-04-16,West Williamburgh,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5557,Shawn Barber,2024-09-13,Davidmouth,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
7989,Kristen Johnson,2024-10-14,Taylorside,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8653,Emily Schwartz,2024-05-19,Jamestown,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
5973,Susan George,2024-08-23,West Matthew,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5827,Christopher Randolph,2024-08-26,Ryanborough,I received the wrong item and would like a full refund or exchange.,Finance Department
2766,Karen Wilson,2024-01-01,Alexisborough,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3691,Kevin Ford,2024-02-20,Port Sherry,I received the wrong item and would like a full refund or exchange.,Finance Department
6888,Theresa Martin,2024-09-07,West Caitlin,I received the wrong item and would like a full refund or exchange.,Finance Department
6865,Marilyn Morgan,2024-07-12,Bergerfurt,I received the wrong item and would like a full refund or exchange.,Finance Department
7278,John Johnston,2024-02-25,Spencerhaven,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4376,Elizabeth Jacobs,2024-09-14,Brownmouth,I received the wrong item and would like a full refund or exchange.,Finance Department
3664,Teresa Skinner,2024-10-28,South Nicolestad,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6745,Patricia Cunningham,2024-01-31,Weberfort,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8807,Mark Warren,2024-07-24,East Geraldburgh,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
5914,Shawn Young,2024-07-14,South Donna,I received the wrong item and would like a full refund or exchange.,Finance Department
5899,Anthony Mcdonald,2024-07-27,Oneillburgh,I received the wrong item and would like a full refund or exchange.,Finance Department
2194,Daniel Robinson,2024-08-23,Fordport,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8295,Dustin Young MD,2024-08-18,North David,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8603,Jacob Robinson,2024-03-27,Foxview,I received the wrong item and would like a full refund or exchange.,Finance Department
3042,Kevin Burke,2024-10-14,Davidberg,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4975,Zachary Robinson,2024-03-19,Henryfurt,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9072,Michael Richardson,2024-01-06,South Jerrystad,I received the wrong item and would like a full refund or exchange.,Finance Department
1192,Kevin Martinez,2024-08-05,Port James,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9207,Paula Pope,2023-12-29,East Brandi,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
3621,Roger Carpenter,2024-08-13,Johnsonshire,I received the wrong item and would like a full refund or exchange.,Finance Department
3981,Eric James,2024-06-15,Markborough,I received the wrong item and would like a full refund or exchange.,Finance Department
2921,Amy Morrison,2024-07-14,North Jamiestad,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
4592,Ryan Figueroa,2024-03-31,Joanneburgh,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6604,Robert Marshall,2024-08-14,West Donaldmouth,I received the wrong item and would like a full refund or exchange.,Finance Department
9300,Stephanie Mills,2024-01-13,Schultzchester,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1971,Teresa Sullivan,2024-02-11,North Cheryl,I received the wrong item and would like a full refund or exchange.,Finance Department
3585,Nathan Kim,2024-06-23,South Mirandaview,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5445,Richard King,2024-08-07,Schaeferbury,I received the wrong item and would like a full refund or exchange.,Finance Department
6463,Teresa Wright,2024-09-30,Port Sabrinaborough,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3323,Desiree Williams,2024-03-25,South Aimeeside,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5744,Jeffrey Henry,2024-01-19,West Victoria,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6703,Jamie Neal,2024-09-29,Harrisberg,I received the wrong item and would like a full refund or exchange.,Finance Department
9796,Alexis Murphy,2024-09-29,New Jennifer,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2540,Martin Pitts,2024-02-21,Daviestown,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8525,Erin Russell,2024-08-21,Aliborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
3694,Shari Henry,2024-01-05,Maymouth,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9131,Mr. Kurt Yang,2024-10-16,North Kyleland,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
3773,Katrina Richardson,2024-05-11,Lake Rachel,I received the wrong item and would like a full refund or exchange.,Finance Department
4062,Kevin Mullins,2024-08-29,East Jacobmouth,I received the wrong item and would like a full refund or exchange.,Finance Department
4721,Benjamin Downs,2024-01-12,Lake Jeremybury,I received the wrong item and would like a full refund or exchange.,Finance Department
7850,Spencer Conrad,2024-03-13,West Amy,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
5428,Heidi Brady,2024-02-15,Robertsonberg,I received the wrong item and would like a full refund or exchange.,Finance Department
6546,Robin Cherry,2024-01-31,South Jessicashire,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8975,Taylor Hunter,2024-02-13,South Matthewbury,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6270,Jennifer Morris,2024-07-05,North Katherine,I received the wrong item and would like a full refund or exchange.,Finance Department
1108,Carl Smith,2024-09-01,East Ronald,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4493,Gregory Gardner,2024-08-03,New Williamchester,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1251,Jared Duran,2024-06-08,South Sarah,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2621,Anthony Smith,2024-08-19,Port Coreyberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1692,Alyssa Roberts,2024-09-26,Thomaschester,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1226,Mandy Norris,2024-01-17,Barajasfurt,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3400,Brittney Gonzalez,2024-04-15,Emilystad,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
7842,Robert Barton,2024-07-31,Lake Johntown,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
2439,Charles Black,2024-08-14,Darrellberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
4947,Kimberly Butler,2024-06-09,South Angela,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
9860,Judith Richardson,2024-06-09,South Casey,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8310,Nichole Barker,2024-08-03,Ronnieside,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9394,Valerie Brown,2024-11-16,Paulshire,I received the wrong item and would like a full refund or exchange.,Finance Department
7774,Tara Walker,2024-08-21,Jonesburgh,I received the wrong item and would like a full refund or exchange.,Finance Department
2865,Shannon Lopez,2024-07-16,Emilyfurt,I received the wrong item and would like a full refund or exchange.,Finance Department
7887,Robert Thomas,2024-01-22,Rachelside,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8140,Thomas Martinez,2024-11-09,Donaldside,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8795,Caitlin Valenzuela,2024-08-09,New Patrick,I received the wrong item and would like a full refund or exchange.,Finance Department
2688,Jasmine Leonard,2024-09-29,Laurenchester,I received the wrong item and would like a full refund or exchange.,Finance Department
4636,Angela Williams,2024-10-16,North Kelsey,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5088,Joshua Cain,2024-03-27,Adamport,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1242,Ethan Bean,2024-02-12,North Dylan,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6096,Timothy Drake,2024-08-24,South Henry,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1408,Lindsey Combs,2024-02-29,Port Dominiqueberg,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
9231,Jerry Costa,2023-12-29,Douglastown,I received the wrong item and would like a full refund or exchange.,Finance Department
5493,Jane Baker,2024-11-25,North Veronica,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1154,Sara Valdez,2024-05-29,Port Ryan,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4178,Susan Jones,2024-03-10,New Sherrishire,I received the wrong item and would like a full refund or exchange.,Finance Department
3135,Rose Woods,2024-03-28,Robertton,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3019,Leslie Brown,2024-04-03,New Aprilbury,I received the wrong item and would like a full refund or exchange.,Finance Department
1727,Jodi Moses,2024-07-24,Erikview,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8528,Christopher Wilson,2024-03-18,Stephanieside,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6815,Amy Phillips,2024-02-29,Garciabury,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6222,Anna Horne,2024-02-05,Andersonborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4609,Emily Beck,2024-03-05,Newmanview,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
2410,Caitlin Knight MD,2024-07-30,Rossberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8892,Patrick Johnson,2024-09-10,West George,I received the wrong item and would like a full refund or exchange.,Finance Department
4745,Victor Guerra,2024-01-06,East Frank,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
3619,Stephen Carr,2024-05-27,West Jennifer,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6782,Susan Martinez,2024-04-22,North Cynthia,I received the wrong item and would like a full refund or exchange.,Finance Department
9731,Eddie Sims,2024-03-11,Rachelberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9456,Karen Wright,2024-07-07,Johntown,I received the wrong item and would like a full refund or exchange.,Finance Department
5824,Kevin Patterson,2024-06-11,Johnsonfort,I received the wrong item and would like a full refund or exchange.,Finance Department
